bookKey;bookTitle;year;annoKey;pageLabel;path;position;Column8;pageIndex;Rect;r0;r1;r2;r3
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;PJNC8IAZ;18;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":17,""rects"":[[59.507,63.507,581.419,275.272]]}";Buchscan_UJ9ZXK7A.pdf;17;59.507,63.507,581.419,275.272;59.507;63.507;581.419;275.272
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;UAYL6G3V;19;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":18,""rects"":[[23.942,431.833,557.442,763.833]]}";Buchscan_UJ9ZXK7A.pdf;18;23.942,431.833,557.442,763.833;23.942;431.833;557.442;763.833
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;DW8IEYK8;20;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":19,""rects"":[[35.942,384.583,401.442,748]]}";Buchscan_UJ9ZXK7A.pdf;19;35.942,384.583,401.442,748;35.942;384.583;401.442;748
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;FN2LQZYF;20;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":19,""rects"":[[404.942,405.3333435058594,580.942,667.75]]}";Buchscan_UJ9ZXK7A.pdf;19;404.942,405.3333435058594,580.942,667.75;404.942;405.3333435;580.942;667.75
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;8VZXFJP5;20;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":19,""rects"":[[43.44166564941406,190.16668701171875,303.942,361.583]]}";Buchscan_UJ9ZXK7A.pdf;19;43.44166564941406,190.16668701171875,303.942,361.583;43.44166565;190.166687;303.942;361.583
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;6N47P7N3;20;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":19,""rects"":[[315.442,136.08331298828125,582.442,316.583]]}";Buchscan_UJ9ZXK7A.pdf;19;315.442,136.08331298828125,582.442,316.583;315.442;136.083313;582.442;316.583
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;6SC5UKZ5;21;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":20,""rects"":[[22.048,453.9166564941406,371.087,771.442]]}";Buchscan_UJ9ZXK7A.pdf;20;22.048,453.9166564941406,371.087,771.442;22.048;453.9166565;371.087;771.442
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;CIQI6VSA;21;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":20,""rects"":[[24.608,143.583,268.608,322.083]]}";Buchscan_UJ9ZXK7A.pdf;20;24.608,143.583,268.608,322.083;24.608;143.583;268.608;322.083
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;HVG3GLHF;21;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":20,""rects"":[[376.279,484.4166564941406,548.202,683.365]]}";Buchscan_UJ9ZXK7A.pdf;20;376.279,484.4166564941406,548.202,683.365;376.279;484.4166565;548.202;683.365
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;MLTKNZ74;22;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":21,""rects"":[[28.394,227.154,568.394,766.192]]}";Buchscan_UJ9ZXK7A.pdf;21;28.394,227.154,568.394,766.192;28.394;227.154;568.394;766.192
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;YXZM7Q4W;23;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":22,""rects"":[[22.125,154.75735114602475,559.625,766.514]]}";Buchscan_UJ9ZXK7A.pdf;22;22.125,154.75735114602475,559.625,766.514;22.125;154.7573511;559.625;766.514
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;NNVHNPH9;24;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":23,""rects"":[[28.625,527.228,292.007,735.904]]}";Buchscan_UJ9ZXK7A.pdf;23;28.625,527.228,292.007,735.904;28.625;527.228;292.007;735.904
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;FVKUG5PF;25;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":24,""rects"":[[24.162506103515625,181.9044333065257,566.413,782.813]]}";Buchscan_UJ9ZXK7A.pdf;24;24.162506103515625,181.9044333065257,566.413,782.813;24.1625061;181.9044333;566.413;782.813
88MXX542;Mädchen fragen Mädchenfragen: das Buch für Mädchen ab 11 Jahren;2022;FKF4HUIG;20;C:\Users\annik\Zotero\storage\HJ9U6QDS\Buchscan_88MXX542.pdf;"{""pageIndex"":13,""rects"":[[136.766,324.562,485.516,569.25]]}";Buchscan_88MXX542.pdf;13;136.766,324.562,485.516,569.25;136.766;324.562;485.516;569.25
88MXX542;Mädchen fragen Mädchenfragen: das Buch für Mädchen ab 11 Jahren;2022;ZPDWW4FG;22;C:\Users\annik\Zotero\storage\HJ9U6QDS\Buchscan_88MXX542.pdf;"{""pageIndex"":15,""rects"":[[66.453,150,558.641,731.25]]}";Buchscan_88MXX542.pdf;15;66.453,150,558.641,731.25;66.453;150;558.641;731.25
88MXX542;Mädchen fragen Mädchenfragen: das Buch für Mädchen ab 11 Jahren;2022;4TZ4D43W;25;C:\Users\annik\Zotero\storage\HJ9U6QDS\Buchscan_88MXX542.pdf;"{""pageIndex"":18,""rects"":[[73.663,274.562,389.413,500.312]]}";Buchscan_88MXX542.pdf;18;73.663,274.562,389.413,500.312;73.663;274.562;389.413;500.312
294WBTT5;Vulvina intersektional: Körper • Macht • Empowerment;2023;374U6A9H;119;C:\Users\annik\Zotero\storage\8V5ZJ47S\Buchscan_294WBTT5.pdf;"{""pageIndex"":45,""rects"":[[35.375,380.909,550.148,596.3636342828923]]}";Buchscan_294WBTT5.pdf;45;35.375,380.909,550.148,596.3636342828923;35.375;380.909;550.148;596.3636343
294WBTT5;Vulvina intersektional: Körper • Macht • Empowerment;2023;XZ8FUXPE;122;C:\Users\annik\Zotero\storage\8V5ZJ47S\Buchscan_294WBTT5.pdf;"{""pageIndex"":48,""rects"":[[71.141,135.578,522.078,806.828]]}";Buchscan_294WBTT5.pdf;48;71.141,135.578,522.078,806.828;71.141;135.578;522.078;806.828
294WBTT5;Vulvina intersektional: Körper • Macht • Empowerment;2023;J2AWTUNA;129;C:\Users\annik\Zotero\storage\8V5ZJ47S\Buchscan_294WBTT5.pdf;"{""pageIndex"":55,""rects"":[[87.078,216.953,484.578,485.0781307220459]]}";Buchscan_294WBTT5.pdf;55;87.078,216.953,484.578,485.0781307220459;87.078;216.953;484.578;485.0781307
